repo_name,week,commit_sha,dependency,version,concreteVersion,dependency_type
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@tact-lang/emulator,^4.2.3,4.3.0,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@ton/crypto,^3.2.0,3.2.0,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@types/jest,^29.2.4,29.5.12,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@types/node,^18.11.14,18.19.39,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,@types/qs,^6.9.7,6.9.15,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,qs,^6.11.0,6.12.1,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,ts-jest,^29.0.3,29.1.5,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W25,6499879bf995b8a176a5c7a557f23d249d999605,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/compiler,~1.4.4,~1.4.4,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/coverage,^0.0.8,0.0.8,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/emulator,^4.2.3,4.3.0,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@types/jest,^29.2.4,29.5.12,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@types/node,^18.11.14,18.19.44,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,@types/qs,^6.9.7,6.9.15,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,base64url,^3.0.1,3.0.1,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,enquirer,^2.3.6,2.4.1,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,jest,^29.3.1,29.7.0,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,open,^8.4.0,8.4.2,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,prando,^6.0.1,6.0.1,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,prettier,^2.5.1,2.8.8,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,qs,^6.11.0,6.13.0,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,ts-jest,^29.0.3,29.2.4,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,ts-node,^10.9.1,10.9.2,normal
tact-lang/tact-template,2024-W33,109fc82f669e80d33820aa595057d5dad8ca4256,typescript,^4.9.4,4.9.5,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@tact-lang/compiler,~1.4.4,1.4.4,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@tact-lang/coverage,^0.0.8,0.0.8,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@tact-lang/deployer,^0.2.0,0.2.0,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@tact-lang/ton-abi,^0.0.3,0.0.3,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@tact-lang/ton-jest,^0.0.4,0.0.4,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@ton/core,~0.56.3,0.56.3,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@ton/crypto,^3.2.0,3.3.0,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@ton/sandbox,^0.20.0,0.20.0,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@ton/test-utils,^0.4.2,0.4.2,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@ton/ton,^13.9.0,13.11.2,normal
tact-lang/tact-template,2024-W34,d2c190dfccf45aa8e35c51bffcc2231f65a1be7e,@types/jest,^29.2.4,29.5.12,normal
