,repo_name,file_path,file_url,,
31,LubomirGeorgiev/cloudflare-workers-nextjs-saas-template,.cursorrules,https://github.com/LubomirGeorgiev/cloudflare-workers-nextjs-saas-template/blob/0724c25227fd82f4d35adbf368cd3c6a30384b26/.cursorrules,,
32,hoishing/natal,.cursorrules,https://github.com/hoishing/natal/blob/c7d2e90758b979e9cd4fbf282c969a4bc72d5e16/.cursorrules,,
33,oven-sh/bun,.cursor/rules/writing-tests.mdc,https://github.com/oven-sh/bun/blob/fee911194a06554e4a9d0cb4dc5c57c1ca5db7dd/.cursor/rules/writing-tests.mdc,,
34,tony/django-docutils,.cursor/rules/git-commits.mdc,https://github.com/tony/django-docutils/blob/cb6234c0320cdbaa55c1656a8a3285bf96cb98a1/.cursor/rules/git-commits.mdc,,
35,OpenSPP/openspp-modules,.cursor/rules/00-cursor-rules-mdc.mdc,https://github.com/OpenSPP/openspp-modules/blob/aa7a32f1654f2bb6d0dab7705d099a4d23db93c8/.cursor/rules/00-cursor-rules-mdc.mdc,,
36,icantcodefyi/cattype,.cursor/rules/rule.mdc,https://github.com/icantcodefyi/cattype/blob/74ce4c15051f813000123c014fd99c81042b0108/.cursor/rules/rule.mdc,,
37,tmux-python/tmuxp,.cursor/rules/tmuxp-pytest.mdc,https://github.com/tmux-python/tmuxp/blob/1b034699e8484f3c76a8ef46f5132dcf87b38fd0/.cursor/rules/tmuxp-pytest.mdc,,
38,GatoGraphQL/GatoGraphQL,.cursorignore,https://github.com/GatoGraphQL/GatoGraphQL/blob/6ab40fbfafe9cd3e3fd8b55bbf3613473fbc5160/.cursorignore,,
39,LastBotInc/nextjs-supabase-ai-webapp,.cursor/rules/add-data-model.mdc,https://github.com/LastBotInc/nextjs-supabase-ai-webapp/blob/9d1df2a2449c5e5448989539805da838f470419f/.cursor/rules/add-data-model.mdc,,
40,AndreRatzenberger/cursor-rules,.cursor/rules/specification-management-rule.mdc,https://github.com/AndreRatzenberger/cursor-rules/blob/2359f31859717218e2a4b02ba61fab8f64e67254/.cursor/rules/specification-management-rule.mdc,,
41,synaptiai/prompt-decorators,.cursor/rules/900-software-dev-decorators.mdc,https://github.com/synaptiai/prompt-decorators/blob/04b0660769037c5e7b50aa1b584e70b6c46c110c/.cursor/rules/900-software-dev-decorators.mdc,,
42,nucleuscloud/neosync,.cursor/rules/frontend.mdc,https://github.com/nucleuscloud/neosync/blob/88a0ba678f73706016376a4db307955ce57e3ec5/.cursor/rules/frontend.mdc,,
43,LegendApp/legend-photos,.cursor/rules/general.mdc,https://github.com/LegendApp/legend-photos/blob/21551c9113281fe2fbc8ad8c5d7c512882b1c057/.cursor/rules/general.mdc,,
44,synaptiai/prompt-decorators,.cursor/templates/template-story.md,https://github.com/synaptiai/prompt-decorators/blob/04b0660769037c5e7b50aa1b584e70b6c46c110c/.cursor/templates/template-story.md,,
45,Modu-AI/AW3SOME-Cursor,.cursor/rules/MOAI_PRD.mdc,https://github.com/Modu-AI/AW3SOME-Cursor/blob/f156f654fb5517030351a12f29088d96753d948b/.cursor/rules/MOAI_PRD.mdc,,
46,Mawla/cursor_rules,.cursor/rules/documentation-reference.mdc,https://github.com/Mawla/cursor_rules/blob/ae61a61bd3b342e100325afb0c1a51470d2e5acb/.cursor/rules/documentation-reference.mdc,,
47,Qwertic/cursorrules,rules/python-fastapi-best-practices-cursorrules-prompt-f/.cursorrules,https://github.com/Qwertic/cursorrules/blob/cd412562041fdd096bd706462c588a4ae1f69a9b/rules/python-fastapi-best-practices-cursorrules-prompt-f/.cursorrules,,
48,siriwatknp/jun-mvp-starter,.cursor/rules/react.mdc,https://github.com/siriwatknp/jun-mvp-starter/blob/cf00d233dad1f1862804ea6822aa07847fbceb70/.cursor/rules/react.mdc,,
49,vanzan01/cursor-memory-bank,.cursor/rules/Core Implementation/creative-phase-triggers.mdc,https://github.com/vanzan01/cursor-memory-bank/blob/0b3e4ab77f144585717307c76477c5b2fa6ce55b/.cursor/rules/Core%20Implementation/creative-phase-triggers.mdc,,
50,zueai/create-mcp,.cursor/rules/project-context.mdc,https://github.com/zueai/create-mcp/blob/51f5b46d9ad004413dc5d763c19d4aaa507e68b2/.cursor/rules/project-context.mdc,,
51,tphakala/birdnet-pi2go,.cursor/rules/go_test.mdc,https://github.com/tphakala/birdnet-pi2go/blob/6249c57f9c1578eec21301e82968d8f10b2359e0/.cursor/rules/go_test.mdc,,
52,wardbox/roke,.cursor/rules/routing.md,https://github.com/wardbox/roke/blob/b534c5132e3e6c7aeab2930f8f3666e4585fddd9/.cursor/rules/routing.md,,
53,PatrickJS/awesome-cursorrules,rules/python-github-setup-cursorrules-prompt-file/.cursorrules,https://github.com/PatrickJS/awesome-cursorrules/blob/7e4db830d65c8951463863dd25cc39b038d34e02/rules/python-github-setup-cursorrules-prompt-file/.cursorrules,,
54,Cassianvale/LingYaoKeys,docs/.cursorrules,https://github.com/Cassianvale/LingYaoKeys/blob/fce9a0a009aa435b8f875bdd1693c59a85c22fd2/docs/.cursorrules,,
55,keephq/keep,.cursor/rules/keep-ui-react-typescript.mdc,https://github.com/keephq/keep/blob/5df590afadcd3c5c20adbec791c0ba419ea9d3a0/.cursor/rules/keep-ui-react-typescript.mdc,,
56,tsukumijima/KonomiTV,.cursor/rules/add-new-setting-field.mdc,https://github.com/tsukumijima/KonomiTV/blob/e3b19c86f602e21cd30dfd57586a2c97724318ef/.cursor/rules/add-new-setting-field.mdc,,
57,ks0318-p/Cursor-Project-Rules,.cursor/rules/002_bestPractices_frontend.mdc,https://github.com/ks0318-p/Cursor-Project-Rules/blob/1db3f644e61846e7efc27207ad001ac24df7de84/.cursor/rules/002_bestPractices_frontend.mdc,,
58,dgokcin/dotfiles,.cursor/templates/story-manual.mdc,https://github.com/dgokcin/dotfiles/blob/78fcb5582d7c31279c317a15a7e0b406bc60074a/.cursor/templates/story-manual.mdc,,
59,yumemi-inc/flutter-mobile-project-template,.cursorrules,https://github.com/yumemi-inc/flutter-mobile-project-template/blob/6ecefcaeb994ed2ec6bd61341d9e59988167c940/.cursorrules,,
60,ansh/deeperseeker-app,.cursorrules,https://github.com/ansh/deeperseeker-app/blob/fb072f1a6b473a334ea59334e6748e31aeb21024/.cursorrules,,
61,different-ai/hypr-v0,.cursor/rules/current-goal.mdc,https://github.com/different-ai/hypr-v0/blob/5e730a4c722a1a3c6c86e807f223bdc8ff93a82b/.cursor/rules/current-goal.mdc,,
62,ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code,.cursor/rules/903-story.mdc,https://github.com/ShunsukeHayashi/Auto-coder-agent_Cursor_Roo_code/blob/1d5c4d63fd8e40183f7c3f5b8d97136de3878c1c/.cursor/rules/903-story.mdc,,
63,mrabdussalam/zakat-calculator,.cursorrules,https://github.com/mrabdussalam/zakat-calculator/blob/128902cd8f01a5b0ef7958af0ec6f3d868f00695/.cursorrules,,
64,jlcases/paelladoc,.cursor/rules/templates/code_generation/extension/manifest.template,https://github.com/jlcases/paelladoc/blob/02e99aeff4e01e3f04322edc7011730eb7b3860c/.cursor/rules/templates/code_generation/extension/manifest.template,,
65,tobi/dotfiles,.cursor/rules/shell.mdc,https://github.com/tobi/dotfiles/blob/310633e4832500e8f90070d58651ac1c80a5c19d/.cursor/rules/shell.mdc,,
66,justdoinc/justdo,.cursor/rules/tasks/030-i18n-files.mdc,https://github.com/justdoinc/justdo/blob/7744a3dd09f75f4dd341a3c3e712c398fe736ad0/.cursor/rules/tasks/030-i18n-files.mdc,,
