repo_name,week,commits,lines_added,contributors
darenmalfait/nerdfish.be,2023-W07,12,0,2
darenmalfait/nerdfish.be,2023-W06,13,0,2
darenmalfait/nerdfish.be,2023-W05,14,0,3
darenmalfait/nerdfish.be,2023-W04,19,0,2
darenmalfait/nerdfish.be,2023-W03,18,0,3
darenmalfait/nerdfish.be,2023-W02,28,0,3
darenmalfait/nerdfish.be,2023-W01,46,0,3
darenmalfait/nerdfish.be,2022-W52,27,0,3
darenmalfait/nerdfish.be,2022-W51,21,0,5
darenmalfait/nerdfish.be,2022-W50,11,0,4
darenmalfait/nerdfish.be,2022-W49,18,0,4
darenmalfait/nerdfish.be,2022-W48,3,0,2
darenmalfait/nerdfish.be,2022-W47,2,0,1
darenmalfait/nerdfish.be,2022-W46,24,0,3
darenmalfait/nerdfish.be,2022-W45,21,0,2
darenmalfait/nerdfish.be,2022-W41,1,0,1
darenmalfait/nerdfish.be,2022-W40,7,0,1
darenmalfait/nerdfish.be,2022-W37,1,0,1
darenmalfait/nerdfish.be,2022-W23,1,0,1
darenmalfait/nerdfish.be,2022-W19,1,0,1
darenmalfait/nerdfish.be,2022-W17,3,0,1
darenmalfait/nerdfish.be,2022-W16,1,0,1
darenmalfait/nerdfish.be,2022-W15,2,0,1
darenmalfait/nerdfish.be,2022-W13,4,0,1
darenmalfait/nerdfish.be,2022-W12,10,0,1
darenmalfait/nerdfish.be,2022-W11,7,0,1
darenmalfait/nerdfish.be,2022-W10,9,0,1
darenmalfait/nerdfish.be,2022-W09,2,0,2
darenmalfait/nerdfish.be,2022-W08,13,0,1
darenmalfait/nerdfish.be,2022-W07,2,0,1
darenmalfait/nerdfish.be,2022-W06,8,0,1
darenmalfait/nerdfish.be,2022-W05,11,0,2
mzxrai/mcp-openai,2024-W49,8,0,1
MathiasGruber/TheNinjaRPG,2025-W12,4,0,1
MathiasGruber/TheNinjaRPG,2025-W11,27,0,4
MathiasGruber/TheNinjaRPG,2025-W10,33,0,3
MathiasGruber/TheNinjaRPG,2025-W09,115,0,2
MathiasGruber/TheNinjaRPG,2025-W08,56,0,3
MathiasGruber/TheNinjaRPG,2025-W07,41,0,3
MathiasGruber/TheNinjaRPG,2025-W06,24,0,2
MathiasGruber/TheNinjaRPG,2025-W05,37,0,3
MathiasGruber/TheNinjaRPG,2025-W04,44,0,3
MathiasGruber/TheNinjaRPG,2025-W03,32,0,3
MathiasGruber/TheNinjaRPG,2025-W02,45,0,2
MathiasGruber/TheNinjaRPG,2025-W01,25,0,3
MathiasGruber/TheNinjaRPG,2025-W00,68,0,2
MathiasGruber/TheNinjaRPG,2024-W53,1,0,1
MathiasGruber/TheNinjaRPG,2024-W52,7,0,1
MathiasGruber/TheNinjaRPG,2024-W51,8,0,1
MathiasGruber/TheNinjaRPG,2024-W50,11,0,1
MathiasGruber/TheNinjaRPG,2024-W49,45,0,1
MathiasGruber/TheNinjaRPG,2024-W48,32,0,4
MathiasGruber/TheNinjaRPG,2024-W47,19,0,1
MathiasGruber/TheNinjaRPG,2024-W46,26,0,1
MathiasGruber/TheNinjaRPG,2024-W45,24,0,1
MathiasGruber/TheNinjaRPG,2024-W44,49,0,1
MathiasGruber/TheNinjaRPG,2024-W43,34,0,1
MathiasGruber/TheNinjaRPG,2024-W42,29,0,1
MathiasGruber/TheNinjaRPG,2024-W41,41,0,3
MathiasGruber/TheNinjaRPG,2024-W40,20,0,3
MathiasGruber/TheNinjaRPG,2024-W39,49,0,3
MathiasGruber/TheNinjaRPG,2024-W38,37,0,2
MathiasGruber/TheNinjaRPG,2024-W37,15,0,1
MathiasGruber/TheNinjaRPG,2024-W36,43,0,1
MathiasGruber/TheNinjaRPG,2024-W35,47,0,1
MathiasGruber/TheNinjaRPG,2024-W34,57,0,1
MathiasGruber/TheNinjaRPG,2024-W33,68,0,1
MathiasGruber/TheNinjaRPG,2024-W32,46,0,1
MathiasGruber/TheNinjaRPG,2024-W31,82,0,2
MathiasGruber/TheNinjaRPG,2024-W30,7,0,1
MathiasGruber/TheNinjaRPG,2024-W29,23,0,1
MathiasGruber/TheNinjaRPG,2024-W27,11,0,1
MathiasGruber/TheNinjaRPG,2024-W26,25,0,1
MathiasGruber/TheNinjaRPG,2024-W25,36,0,1
MathiasGruber/TheNinjaRPG,2024-W24,22,0,1
MathiasGruber/TheNinjaRPG,2024-W23,2,0,1
MathiasGruber/TheNinjaRPG,2024-W21,21,0,1
MathiasGruber/TheNinjaRPG,2024-W19,41,0,1
MathiasGruber/TheNinjaRPG,2024-W18,12,0,1
MathiasGruber/TheNinjaRPG,2024-W17,20,0,1
MathiasGruber/TheNinjaRPG,2024-W16,23,0,1
MathiasGruber/TheNinjaRPG,2024-W15,53,0,1
MathiasGruber/TheNinjaRPG,2024-W14,2,0,1
MathiasGruber/TheNinjaRPG,2024-W13,43,0,1
MathiasGruber/TheNinjaRPG,2024-W12,27,0,1
MathiasGruber/TheNinjaRPG,2024-W11,1,0,1
MathiasGruber/TheNinjaRPG,2024-W10,9,0,1
MathiasGruber/TheNinjaRPG,2024-W09,11,0,1
MathiasGruber/TheNinjaRPG,2024-W08,16,0,1
MathiasGruber/TheNinjaRPG,2024-W07,57,0,1
MathiasGruber/TheNinjaRPG,2024-W06,43,0,1
MathiasGruber/TheNinjaRPG,2024-W05,34,0,1
MathiasGruber/TheNinjaRPG,2024-W04,38,0,1
MathiasGruber/TheNinjaRPG,2024-W03,25,0,1
MathiasGruber/TheNinjaRPG,2024-W02,16,0,1
MathiasGruber/TheNinjaRPG,2024-W01,37,0,1
