repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
f3liiix/nav-site,2,100.0,2025-03-11T09:07:24
kenshiro-o/nagato-ai,3,100.0,2025-02-15T05:08:06
fredericbarthelet/linkedin-mcp-server,1,100.0,2025-03-14T06:55:58
sidejot/sidejot,3,100.0,2024-11-07T15:44:58
ilyaizen/streak-calendar,2,100.0,2025-01-01T13:20:50
vipwan/Biwen.QuickApi,1,100.0,2025-03-20T11:37:35
kendevco/spaces,2,100.0,2025-01-28T14:55:20
yagami1997/CursorMind,5,100.0,2025-03-07T23:05:13
jlvihv/R2Uploader,1,100.0,2025-02-27T07:42:41
yayxs/ai-coding,5,100.0,2025-01-14T06:23:46
hayyaoe/zenities,2,100.0,2024-10-23T23:36:33
ks0318-p/Cursor-Project-Rules,8,100.0,2025-03-01T22:49:00
iceener/ai,1,100.0,2024-12-05T18:12:51
tunctn/express-next-turborepo-boilerplate,1,100.0,2025-03-02T21:58:48
mikemaccana/solana-anchor-cursor-ai-rules,7,100.0,2025-02-25T15:28:56
johanguse/next-saas-template,1,100.0,2025-01-01T13:39:45
Darlley/saas-admin,3,100.0,2024-10-16T22:21:59
WangQrkkk/ThinkingCursor,1,100.0,2025-01-27T23:39:27
federicofanini/gymbrah.com,6,100.0,2025-01-04T09:45:23
hugetiny/Hapee,3,100.0,2024-11-13T13:01:22
994AK/AI-Collection,2,100.0,2024-09-25T02:42:29
davidgasquez/dotfiles,18,100.0,2025-01-02T13:13:01
wasp-lang/cursor-template,1,100.0,2024-12-04T10:21:56
zueai/create-mcp,7,100.0,2025-02-22T13:22:56
SiriusFHJ/ShangAnNotes,11,100.0,2024-11-21T02:10:32
Seezo-io/cursor-security-rules,1,100.0,2025-03-24T08:30:33
arjitvermaco/DbDost,1,100.0,2024-11-08T02:14:40
R44VC0RP/r2d2,4,100.0,2025-03-16T20:26:09
sunny352/docker,1,100.0,2025-02-25T21:49:27
mckaywrigley/o1-pro-template-system,1,100.0,2025-02-16T14:06:36
mikker/FlickRing.app,2,100.0,2024-08-30T05:00:40
MaggieAppleton/lodestone,1,100.0,2025-02-21T10:45:20
RefTrace/RefTrace,2,100.0,2024-09-03T13:10:37
nirvash/Illustra,4,100.0,2025-03-14T21:57:42
ghostlexly/ultimate-typescript-starter-kit,3,100.0,2024-10-18T12:46:07
symbiota-coop/dandelion,17,99.97062279670975,2025-03-09T03:27:00
nostur-com/nostur-ios-public,1,99.88636363636364,2025-03-06T11:25:00
frostime/sy-f-misc,2,99.87531172069825,2025-01-29T11:20:08
eliheuer/bezy,6,99.85507246376811,2025-02-23T18:28:03
rcmdnk/dotfiles,7,99.79367262723521,2025-02-07T22:00:08
